latitude,longitude,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles,road_name
51.54778274,-0.05625941,0.4,383.5,149.5,5564.0,1173.5,816.0,209.5,7913.0,A107
51.54958866,-0.05724979,0.3,286.5,94.5,3598.0,712.0,878.5,143.5,5426.5,A107
51.55043654,-0.05360768,0.3,491.5,144.5,3769.5,1404.5,912.5,98.0,6329.5,A107
51.55440242,-0.05415964,0.7,410.0,148.5,5008.0,1115.0,742.0,195.5,7209.0,A107
51.47245402,0.27498338,2.8,6.5,19.5,794.5,2.0,430.5,561.5,1806.5,A1090
51.48345345,0.24836595,1.5,14.0,60.5,2809.5,5.0,1221.5,1055.5,5152.5,A1090
51.51148457,-0.08553279999999999,0.7,2184.0,1411.5,5627.0,852.0,1523.0,463.0,9876.5,A10
51.51636355,-0.08143668,0.1,2184.0,1411.5,5627.0,852.0,1523.0,463.0,9876.5,A10
51.51760279,-0.08023152,0.6,3109.5,1186.0,6032.0,1819.5,1621.0,642.5,11300.5,A10
51.52206531,-0.07816991,0.2,3109.5,1186.0,6032.0,1819.5,1621.0,642.5,11300.5,A10
51.52322410000001,-0.07754451,0.1,2586.0,973.5,7315.0,1334.5,1943.0,240.0,11806.0,A10
51.52565514,-0.07773044,0.4,2488.5,490.5,3673.5,813.5,1091.5,203.0,6272.5,A10
51.53912757,-0.07673019,2.1,1072.0,461.0,4946.5,563.0,1300.0,162.0,7432.5,A10
51.54809972,-0.07548644,1.3,1829.0,536.5,3521.0,678.0,1001.5,216.0,5954.0,A10
51.55797739,-0.0691547,1.0,1016.0,709.0,12091.0,646.0,3282.0,200.0,16928.0,A10
51.56048425,-0.07395373,0.7,1046.0,558.0,10407.0,718.0,2326.0,203.0,14211.0,A10
51.56315883,-0.0725422,0.2,1080.0,778.0,13315.0,1443.0,2761.0,512.0,18807.0,A10
51.56604628,-0.07314153,1.1,590.0,449.5,7964.5,739.0,1807.0,181.0,11140.5,A10
55.01438621,-1.46718673,1.0,35.5,57.0,9384.0,81.5,1588.5,61.5,11173.0,A1108
51.50934516,0.03615066,0.5,21.0,36.0,3639.5,226.5,497.5,125.5,4525.0,A112
51.51481655,0.03178254,0.8,63.5,59.0,4827.0,400.5,563.0,137.0,5987.5,A112
51.51930444,0.03227057,1.0,76.5,173.5,8286.0,506.0,1000.0,169.0,10134.0,A112
51.528397399999996,0.02647611,0.9,272.5,127.0,7553.5,261.5,908.5,165.5,9016.5,A112
51.53179866,0.01696696,1.1,192.0,127.5,7779.5,467.0,1109.5,67.0,9550.0,A112
51.53774726,0.005693899999999999,0.8,190.5,174.0,6749.5,739.5,844.5,104.0,8611.5,A112
51.54685615,-0.00111699,0.7,319.0,98.0,3328.5,199.5,551.0,153.0,4331.0,A112
51.54994572,-0.00300091,0.2,196.5,45.5,3120.5,119.0,378.5,164.5,3828.0,A112
51.55592302,-0.00547999,0.8,265.0,120.5,5330.0,402.5,1114.0,219.5,7186.0,A112
51.55810169,-0.00668306,0.1,275.0,97.0,5244.5,451.5,820.5,103.0,6717.0,A112
55.00622891,-1.45150357,0.5,60.0,31.0,3545.0,2.0,389.5,36.5,4004.0,A1149
51.53746276,0.02226437,2.0,110.5,66.0,5868.5,99.5,582.0,123.0,6739.0,A114
51.55090415,0.02502408,1.0,115.0,67.5,6563.0,48.5,582.5,98.0,7360.0,A114
51.53211916,-0.00969268,1.6,1017.0,536.0,15970.0,675.0,2531.5,323.5,20035.5,A118
51.53788004,-0.00208712,0.5,908.5,555.0,11882.5,626.5,2058.0,239.5,15361.0,A118
51.53997989,0.00028333,0.2,952.0,1003.0,24434.0,2327.0,3479.0,886.0,32129.0,A118
51.54139086,0.00296987,0.2,1683.0,798.0,11366.0,947.0,1741.0,317.0,15169.0,A118
51.54227714,0.00372986,0.2,660.0,320.0,15129.0,659.0,1215.0,345.0,17668.0,A118
